"2017-08-25 16:43:57","2017-08-25 18:19:44"
"2017-08-26 10:32:35","2017-08-26 15:25:55"
"2017-08-28 11:26:07","2017-08-28 15:36:50"
"2017-08-30 10:53:55","2017-08-30 19:30:45"
"2017-09-01 15:15:04","2017-09-01 19:03:32"
"2017-09-02 11:55:17","2017-09-02 14:35:38"
"2017-09-27 08:00:00","2017-09-27 21:00:00"
"2017-09-05 16:12:56","2017-09-05 17:08:16"
"2017-09-06 09:25:23","2017-09-06 11:57:31"
"2017-09-06 21:05:18","2017-09-07 00:40:10"
2017-09-29 15:22:13,2017-09-29 21:41:33
2017-10-02 14:53:02,2017-10-02 16:12:13
2017-10-12 12:51:55,2017-10-12 14:13:29
2017-10-13 13:04:40,2017-10-13 20:52:17
2017-10-14 11:19:38,2017-10-14 18:12:04
2017-10-16 10:07:03,2017-10-16 16:11:21
2017-10-19 08:58:26,2017-10-19 11:36:52
