"2017-08-25 13:01:52","2017-08-25 18:18:29"
"2017-08-26 13:20:09","2017-08-26 15:25:53"
"2017-08-28 11:04:13","2017-08-28 15:32:13"
"2017-08-29 09:13:27","2017-08-29 11:09:55"
"2017-08-29 17:19:46","2017-08-29 18:20:17"
"2017-08-30 10:51:20","2017-08-30 20:00:00"
"2017-08-31 15:07:07","2017-08-31 16:47:21"
"2017-08-31 17:56:43","2017-08-31 20:19:06"
"2017-09-05 09:03:17","2017-09-05 11:15:21"
"2017-09-05 15:01:00","2017-09-05 15:37:03"
"2017-09-05 15:37:10","2017-09-05 16:36:50"
"2017-09-06 16:18:00","2017-09-06 21:41:35"
"2017-09-07 01:13:56","2017-09-07 02:07:49"
"2017-09-07 20:59:37","2017-09-08 01:14:09"
"2017-09-27 11:00:00","2017-09-27 20:00:00"
2017-09-28 15:13:55,2017-09-28 20:36:09

2017-09-19 10:00:00,2017-09-19 13:00:00

2017-09-20 10:00:00,2017-09-20 11:00:00

2017-09-21 10:00:00,2017-09-21 12:00:00

2017-09-25 10:00:00,2017-09-25 15:00:00

2017-09-26 10:00:00,2017-09-26 15:00:00
2017-10-02 09:09:53,2017-10-02 15:46:39
2017-10-06 16:55:59,2017-10-06 17:37:36
2017-10-07 10:09:28,2017-10-07 13:18:07

2017-10-07 15:00:00,2017-10-07 18:00:00
2017-10-13 13:25:28,2017-10-13 21:17:01
2017-10-14 13:24:58,2017-10-14 18:16:36
2017-10-20 12:07:14,2017-10-20 17:12:47
