2017-08-22 17:59:49,2017-08-22 18:40:17
2017-08-24 13:33:31,2017-08-24 15:35:55
2017-08-25 15:13:36,2017-08-25 18:35:21
2017-09-01 16:30:42,2017-09-01 19:31:23
2017-09-07 23:19:13,2017-09-08 00:56:46

2017-09-26 13:00:00,2017-09-26 15:30:00
2017-09-28 15:17:11,2017-09-28 19:57:07
2017-09-29 14:21:15,2017-09-29 15:46:56
2017-09-29 18:22:01,2017-09-29 21:13:52
2017-10-03 14:56:27,
2017-10-03 15:00:00,2017-10-03 20:00:00
2017-10-11 12:12:56,2017-10-11 18:50:42
2017-10-12 14:27:55,2017-10-12 19:38:14
2017-10-19 17:51:57,2017-10-19 20:11:46
2017-10-20 17:03:13,2017-10-20 19:55:38
2017-10-21 10:28:48,
