"2017-08-22 18:03:26","2017-08-22 20:10:57"
"2017-08-24 14:47:29","2017-08-24 18:53:51"
"2017-08-26 12:04:22","2017-08-26 15:26:08"
"2017-08-26 16:39:56","2017-08-26 18:30:00"
"2017-08-26 18:30:00"
"2017-08-28 11:37:36","2017-08-28 15:21:08"
"2017-08-29 17:42:00","2017-08-29 19:54:47"
"2017-08-30 14:02:12","2017-08-30 16:15:13"
"2017-08-31 12:35:55","2017-08-31 20:20:25"
"2017-09-01 09:42:19","2017-09-01 12:54:51"
"2017-09-01 16:26:01","2017-09-01 19:00:06"
"2017-09-02 12:27:32","2017-09-02 16:35:19"
"2017-09-05 12:16:10","2017-09-05 15:18:01"
"2017-09-06 20:35:47","2017-09-07 01:39:09"
"2017-09-07 15:43:33",

2017-09-26 09:00:00,2017-09-26 20:00:00
2017-09-28 09:45:28,2017-09-28 10:47:56
2017-09-29 10:26:58,2017-09-29 15:04:04
2017-09-29 16:37:05,2017-09-29 21:17:02
2017-10-02 09:15:12,2017-10-02 10:37:13
2017-10-04 14:26:51,2017-10-04 16:58:27
2017-10-05 12:55:29,2017-10-05 16:47:11
*****
2017-10-11 14:18:29,2017-10-11 14:37:40
2017-10-11 15:29:01,2017-10-11 16:53:41
2017-10-12 16:25:08,2017-10-12 17:28:58
2017-10-12 17:31:47,2017-10-12 18:59:05
2017-10-13 09:38:21,2017-10-13 11:32:54

2017-10-13 10:00:00,2017-10-13 14:23:00
2017-10-14 13:32:44,2017-10-14 18:20:24
2017-10-17 11:31:32,2017-10-17 15:17:24
2017-10-17 16:54:43,2017-10-17 18:25:12
2017-10-17 18:47:54,2017-10-17 20:01:00
2017-10-18 15:08:38,2017-10-18 16:21:41
2017-10-18 16:52:40,2017-10-18 19:54:14
2017-10-19 15:15:54,2017-10-19 21:45:54
2017-10-20 09:56:25,2017-10-20 12:09:13
2017-10-20 12:23:28,2017-10-20 14:00:08
2017-10-20 17:05:21,2017-10-20 19:47:23
